-1309,-2611,185
-1227,-2611,185
-1160,-2611,185
-1091,-2612,184
-985,-2615,184
-905,-2617,185
-830,-2620,185
-707,-2625,184
-644,-2628,184
-532,-2633,184
-457,-2637,183
-331,-2645,185
-126,-2660,185
-43,-2665,186
99,-2672,186
236,-2672,187
295,-2669,187
373,-2661,187
476,-2639,187
541,-2618,187
603,-2590,186
707,-2524,188
796,-2447,188
968,-2232,189
1002,-2177,189
1048,-2094,189
1079,-2027,189
1094,-1993,188
1128,-1894,188
1156,-1791,188
1177,-1677,189
1187,-1591,189
1193,-1497,189
1195,-1433,189
1193,-1315,189
1187,-1203,189
1174,-1064,189
1156,-931,189
1141,-833,188
1126,-741,188
1107,-631,188
1083,-485,188
1057,-327,188
1037,-201,188
1016,-73,188
984,132,188
978,170,188
959,294,188
941,409,188
925,516,188
909,624,188
879,832,188
861,963,188
843,1094,188
826,1217,188
812,1328,188
794,1464,188
783,1550,188
760,1730,188
746,1847,188
726,2009,188
713,2112,188
706,2172,188
685,2366,187
670,2500,187
663,2566,187
655,2630,187
645,2717,187
633,2817,187
622,2897,187
606,2995,187
579,3140,187
556,3231,187
494,3389,186
469,3430,186
410,3500,186
383,3525,187
302,3576,187
264,3591,187
176,3618,187
140,3626,188
52,3644,188
-16,3659,187
-86,3677,187
-134,3694,186
-201,3725,186
-244,3752,185
-285,3781,185
-325,3813,184
-378,3855,184
-429,3899,185
-487,3948,184
-516,3973,184
-563,4009,184
-603,4036,183
-651,4062,182
-705,4082,183
-739,4087,183
-769,4088,182
-857,4074,183
-880,4065,182
-912,4049,183
-958,4014,183
-990,3980,183
-1013,3947,183
-1049,3880,183
-1072,3819,184
-1084,3779,184
-1108,3677,184
-1112,3650,184
-1124,3574,184
-1130,3498,183
-1132,3456,182
-1132,3388,181
-1125,3279,180
-1113,3179,179
-1107,3138,178
-1090,3056,177
-1046,2895,176
-1021,2818,177
-973,2689,177
-927,2573,178
-874,2446,179
-842,2371,181
-777,2217,183
-716,2067,186
-674,1963,187
-643,1882,188
-605,1774,189
-582,1708,189
-536,1559,190
-509,1461,190
-467,1271,190
-444,1117,190
-438,1057,189
-430,905,189
-430,829,189
-442,679,188
-464,578,188
-516,461,187
-544,420,188
-626,338,187
-712,286,187
-779,256,187
-867,226,187
-994,194,187
-1024,188,187
-1149,169,188
-1262,159,188
-1317,156,188
-1417,153,188
-1483,153,188
-1597,156,188
-1716,165,188
-1798,172,188
-1898,181,188
-1990,190,188
-2031,194,188
-2123,202,188
-2191,208,188
-2277,216,188
-2417,228,189
-2522,237,189
-2689,251,189
-2734,255,189
-2876,266,190
-2992,276,190
-3081,282,190
-3241,293,189
-3392,305,188
-3453,310,188
-3555,318,188
-3822,340,188
-3894,345,188
-4110,363,188
-4213,371,188
-4389,386,188
-4513,397,188
-4586,404,188
-4679,414,188
-4833,434,187
-4945,452,188
-5419,578,190
-5653,679,191
-5708,707,191
-5826,769,191
-5969,851,191
-6076,913,190
-6217,997,190
-6287,1040,190
-6358,1083,190
-6463,1147,189
-6533,1190,189
-6722,1305,190
-6774,1337,190
-6917,1426,190
-6982,1469,190
-7046,1511,190
-7173,1593,190
-7235,1634,190
-7385,1732,190
-7427,1761,190
-7510,1816,191
-7582,1865,191
-7694,1942,191
-7782,1996,191
-7853,2032,191
-7883,2045,191
-7951,2073,191
-8027,2101,191
-8159,2135,193
-8269,2146,193
-8327,2139,193
-8393,2122,193
-8406,2116,193
-8468,2084,194
-8539,2031,193
-8604,1968,193
-8630,1939,193
-8703,1851,193
-8764,1768,192
-8814,1695,192
-8881,1589,193
-8949,1469,193
-9022,1319,194
-9064,1229,194
-9112,1121,195
-9149,1034,195
-9175,974,195
-9200,915,195
-9232,843,196
-9261,786,195
-9297,720,195
-9345,646,195
-9385,599,195
-9442,553,195
-9490,532,195
-9529,526,195
-9639,560,195
-9702,603,195
-9750,645,195
-9771,666,195
-9798,694,196
-9844,744,196
-9878,785,196
-9932,854,196
-9979,917,197
-10019,968,197
-10091,1061,197
-10128,1107,198
-10204,1196,198
-10232,1228,199
-10322,1325,200
-10422,1423,201
-10483,1476,202
-10583,1545,203
